"slug"	"ulid"	"locationID"	"rank"	"fileName"	"extension"	"bytes"	"width"	"height"	"filePath"
"mak-restaurant-8055"	""	""	"1"	"img-05.png"	".png"	"2581730"	"1920"	"1080"	"C:\Users\USER\Documents\a_git\navigen-go\frontend\public\assets\location-profile-images\mak-restaurant-8055\img-05.png"
"mak-restaurant-8055"	""	""	"2"	"img-07.png"	".png"	"2526023"	"1920"	"1440"	"C:\Users\USER\Documents\a_git\navigen-go\frontend\public\assets\location-profile-images\mak-restaurant-8055\img-07.png"
"mak-restaurant-8055"	""	""	"3"	"img-03.png"	".png"	"2007529"	"1920"	"1308"	"C:\Users\USER\Documents\a_git\navigen-go\frontend\public\assets\location-profile-images\mak-restaurant-8055\img-03.png"
"obuda-synagogue-5811"	""	""	"1"	"Óbuda_Synagogue_02.jpeg"	".jpeg"	"349355"	"1024"	"680"	"C:\Users\USER\Documents\a_git\navigen-go\frontend\public\assets\location-profile-images\obuda-synagogue-5811\Óbuda_Synagogue_02.jpeg"
"platan-gourmet-restaurant-8179"	""	""	"1"	"img-02.jpg"	".jpg"	"109025"	"505"	"538"	"C:\Users\USER\Documents\a_git\navigen-go\frontend\public\assets\location-profile-images\platan-gourmet-restaurant-8179\img-02.jpg"
"platan-gourmet-restaurant-8179"	""	""	"2"	"img-04.jpg"	".jpg"	"84659"	"505"	"538"	"C:\Users\USER\Documents\a_git\navigen-go\frontend\public\assets\location-profile-images\platan-gourmet-restaurant-8179\img-04.jpg"
"platan-gourmet-restaurant-8179"	""	""	"3"	"img-03.jpg"	".jpg"	"66580"	"505"	"561"	"C:\Users\USER\Documents\a_git\navigen-go\frontend\public\assets\location-profile-images\platan-gourmet-restaurant-8179\img-03.jpg"
"rumour-by-racz-jeno-0603"	""	""	"1"	"img-01.jpg"	".jpg"	"1796927"	"1920"	"1944"	"C:\Users\USER\Documents\a_git\navigen-go\frontend\public\assets\location-profile-images\rumour-by-racz-jeno-0603\img-01.jpg"
"rumour-by-racz-jeno-0603"	""	""	"2"	"img-07.jpg"	".jpg"	"236828"	"2560"	"1707"	"C:\Users\USER\Documents\a_git\navigen-go\frontend\public\assets\location-profile-images\rumour-by-racz-jeno-0603\img-07.jpg"
"rumour-by-racz-jeno-0603"	""	""	"3"	"img-05.jpg"	".jpg"	"207266"	"2560"	"1707"	"C:\Users\USER\Documents\a_git\navigen-go\frontend\public\assets\location-profile-images\rumour-by-racz-jeno-0603\img-05.jpg"
"sagrada-familia-4424"	""	""	"1"	"sagrade-renamed.jpg"	".jpg"	"5573198"	"2699"	"4099"	"C:\Users\USER\Documents\a_git\navigen-go\frontend\public\assets\location-profile-images\sagrada-familia-4424\sagrade-renamed.jpg"
"sagrada-familia-4424"	""	""	"2"	"Sagrada_Familia_01.jpg"	".jpg"	"1367588"	"2188"	"1470"	"C:\Users\USER\Documents\a_git\navigen-go\frontend\public\assets\location-profile-images\sagrada-familia-4424\Sagrada_Familia_01.jpg"
"sagrada-familia-4424"	""	""	"3"	"Sagrada_Familia_8-12-21_(7).jpg"	".jpg"	"213974"	"960"	"1224"	"C:\Users\USER\Documents\a_git\navigen-go\frontend\public\assets\location-profile-images\sagrada-familia-4424\Sagrada_Familia_8-12-21_(7).jpg"
"world-of-souvenir-deak-1655"	""	""	"1"	"117155249_598045304245113_5477875408431367290_n.jpg"	".jpg"	"445770"	"1440"	"1440"	"C:\Users\USER\Documents\a_git\navigen-go\frontend\public\assets\location-profile-images\world-of-souvenir-deak-1655\117155249_598045304245113_5477875408431367290_n.jpg"
"world-of-souvenir-deak-1655"	""	""	"2"	"107396503_585069005542743_8335250033938635560_n.jpg"	".jpg"	"318320"	"1200"	"1200"	"C:\Users\USER\Documents\a_git\navigen-go\frontend\public\assets\location-profile-images\world-of-souvenir-deak-1655\107396503_585069005542743_8335250033938635560_n.jpg"
"world-of-souvenir-deak-1655"	""	""	"3"	"108337184_585069042209406_5566443769471249306_n.jpg"	".jpg"	"301361"	"1200"	"1200"	"C:\Users\USER\Documents\a_git\navigen-go\frontend\public\assets\location-profile-images\world-of-souvenir-deak-1655\108337184_585069042209406_5566443769471249306_n.jpg"
"world-of-souvenir-kiraly-7451"	""	""	"1"	"117155249_598045304245113_5477875408431367290_n.jpg"	".jpg"	"445770"	"1440"	"1440"	"C:\Users\USER\Documents\a_git\navigen-go\frontend\public\assets\location-profile-images\world-of-souvenir-kiraly-7451\117155249_598045304245113_5477875408431367290_n.jpg"
"world-of-souvenir-kiraly-7451"	""	""	"2"	"107396503_585069005542743_8335250033938635560_n.jpg"	".jpg"	"318320"	"1200"	"1200"	"C:\Users\USER\Documents\a_git\navigen-go\frontend\public\assets\location-profile-images\world-of-souvenir-kiraly-7451\107396503_585069005542743_8335250033938635560_n.jpg"
"world-of-souvenir-kiraly-7451"	""	""	"3"	"108337184_585069042209406_5566443769471249306_n.jpg"	".jpg"	"301361"	"1200"	"1200"	"C:\Users\USER\Documents\a_git\navigen-go\frontend\public\assets\location-profile-images\world-of-souvenir-kiraly-7451\108337184_585069042209406_5566443769471249306_n.jpg"
